sample_id,category,defect_type,dice,iou,precision,recall,predicted_positive_rate,search_region_recall,pixel_auroc,pixel_ap,aupro,disposition,confidence
candle/bad/000,candle,bad,0.0649798871777783,0.033580987994489275,0.03363062974278112,0.9578947368421052,0.02706386292834891,0.0,0.978134695553316,0.024680335362932675,0.9237358967463176,needs_review,0.1922170403249654
candle/bad/001,candle,bad,0.18147617844408884,0.09979312687189304,0.09979312687189304,1.0,0.021595479665429095,0.0,0.9876572588856702,0.09267075304859389,0.973124901453654,needs_review,0.1922170403249654
candle/bad/002,candle,bad,0.07921363106357904,0.04124020887728459,0.041275772859121436,0.9795348837209302,0.05103246489992745,0.8306976744186046,0.9729527509499599,0.03622024371988418,0.9013631939888,needs_review,0.03606783907257941
candle/bad/003,candle,bad,0.08792846497764531,0.04598597038191738,0.04651382800920816,0.8020663404023926,0.021144726454145862,0.9956498096791735,0.9831213858641439,0.03909164313988249,0.9478749831517538,needs_review,0.1922170403249654
candle/bad/004,candle,bad,0.10823314099794108,0.0572127270772869,0.06198323046465588,0.42639695573803327,0.02290306405496522,0.5309433206489085,0.9709782757483431,0.05303216409983056,0.8958897988001506,needs_review,0.1922170403249654
candle/bad/005,candle,bad,0.10240090922005966,0.05396340550414758,0.05519142419601838,0.7080550098231827,0.02177084666922716,0.41532416502946956,0.9819345613512309,0.0505775616299395,0.9484054644902548,needs_review,0.0
candle/bad/006,candle,bad,0.1555251696546136,0.08431948601081793,0.09194060235914017,0.5042692939244663,0.022272276277045193,0.0,0.9595889191559533,0.0641911340536152,0.5399396518866222,needs_review,0.1922170403249654
candle/bad/007,candle,bad,0.06556675096677506,0.03389455335279388,0.03395797527304984,0.9477756286266924,0.04810790338411642,0.5965183752417795,0.9813579791645781,0.06700879040080696,0.9563134113947551,needs_review,0.26492412051480796
candle/bad/008,candle,bad,0.10368293466514793,0.05467594874322326,0.055460084361818464,0.7945389435989257,0.021340764093372593,0.9655326768128917,0.9831355171613678,0.04212719093596261,0.9369408090909322,needs_review,0.0
candle/bad/009,candle,bad,0.11569357115359938,0.0613984909155294,0.06579869219990658,0.47865788914843915,0.022841718943370462,0.9541303886175408,0.9744904026906537,0.056508463238255556,0.9048747022946676,needs_review,0.1922170403249654
candle/bad/010,candle,bad,0.11539829537221219,0.06123219303518754,0.06150821513832327,0.9317166560306318,0.047482449963726366,1.0,0.9780816789024895,0.1017619419441132,0.923906962076823,needs_review,0.1922170403249654
candle/bad/011,candle,bad,0.20513191530410457,0.1142880176282482,0.12192185305162974,0.6460580282545951,0.02325979921478257,1.0,0.9590181240844433,0.15119810520307386,0.8713097373644512,needs_review,0.1922170403249654
candle/bad/012,candle,bad,0.08769011406844106,0.04585559835963713,0.04585559835963713,1.0,0.04829127192420945,1.0,0.9830612431428314,0.0790421087181209,0.938973625500997,needs_review,0.33593562231274693
candle/bad/013,candle,bad,0.08641889544980896,0.04516082189791621,0.045576112841179704,0.8321070234113712,0.018200161097597405,1.0,0.9935511558786366,0.08781446316321197,0.9799762566884359,needs_review,0.11430166166321602
candle/bad/014,candle,bad,0.13389369325682265,0.07175030317029508,0.0724468674382671,0.8818310858765082,0.02287172470447659,1.0,0.9870534361265229,0.08224208428630145,0.952253540356954,needs_review,0.1922170403249654
candle/bad/015,candle,bad,0.03772129536321676,0.019223209870281373,0.01927698587286853,0.8732718894009217,0.05243873490376819,1.0,0.9753479418012985,0.040171599998431756,0.9143723050753276,needs_review,0.0844463605251125
candle/bad/016,candle,bad,0.023507748230342452,0.011893670824813367,0.011905627013540683,0.9221388367729831,0.055054570477531685,0.0,0.9741056588744313,0.015548989826700547,0.9083446860313416,needs_review,0.0496708820675658
candle/bad/017,candle,bad,0.10165930395431527,0.0535516644436246,0.05495049504950495,0.677801724137931,0.02289772969743524,1.0,0.9653031485829723,0.04930477240647759,0.9308293461799622,needs_review,0.1922170403249654
candle/bad/018,candle,bad,0.09087302130221231,0.04759925469399456,0.04759925469399456,1.0,0.04652226560833013,0.0,0.9875529372410359,0.12023871671300744,0.9541059533754985,needs_review,0.1922170403249654
candle/bad/019,candle,bad,0.08432206343673754,0.04401682653818722,0.04401682653818722,1.0,0.045809462083386675,1.0,0.9836711292749558,0.07671830428041385,0.940470298131307,needs_review,0.1922170403249654
